127.0.0.1 - - [09/Apr/2023:12:07:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:01 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:01 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:01 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:40 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:40 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:40 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:52 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:08:52 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:18 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:18 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:18 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:27 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:27 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:31 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:31 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:33 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:33 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:45 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:45 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:45 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:58 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:09:58 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1516
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:13 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:13 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:13 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:14 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:15 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:24 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:24 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:42 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:42 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:10:42 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:11:07 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:11:07 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:11:29 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3413
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:11:29 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:11:29 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:15:34 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3536
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:15:34 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:15:34 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:16:27 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:16:27 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:05 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:05 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:05 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:18 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:55 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:18:55 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:09 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:09 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:21 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:21 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:19:21 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 200 1595
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:22:36 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:22:36 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:22:36 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:04 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:04 +0530] "GET /QuizApplication/quizapp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:04 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:23 +0530] "POST /QuizApplication/quizapp HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:27 +0530] "GET /QuizApplication/quizApp.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:24:27 +0530] "GET /QuizApplication/Reg.js HTTP/1.1" 304 -
